Date	Name	Type	Details
Dec 8	Tuesday	Feast of the Immaculate Conception	Christian	 
Dec 11	Friday	First Day of Hanukkah	Jewish holiday	 
Dec 11	Friday	Anniversary of the Statute of Westminster	Observance	 
Dec 18	Friday	Last day of Hanukkah	Jewish holiday	 
Dec 21	Monday	December Solstice	Season	 
Dec 24	Thursday	Christmas Eve	Observance	 
Dec 25	Friday	Christmas Day	National holiday, Christian	 
Dec 26	Saturday	Boxing Day	National holiday	NB, NL, NT, NU, ON
Dec 26	Saturday	Boxing Day	Designated Retail Closing Day	Nova Scotia
Dec 26	Saturday	Boxing Day	Optional holiday	Alberta
Dec 26	Saturday	Boxing Day	Local de facto holiday	Yukon
Dec 31	Thursday	New Year's Eve	Observance
